Price,Date
411.69,7/2/15
364.19,7/3/15
411.69,7/4/15
364.19,7/6/15
364.19,7/7/15
369.7,7/8/15
369.7,7/11/15
336.2,7/12/15
336.2,7/15/15
370.2,7/17/15
559.19,7/18/15
386.19,7/21/15
412.19,7/22/15
526.69,7/24/15
526.69,7/25/15
400.2,7/27/15
400.2,7/28/15
390.2,7/30/15
432.19,8/2/15
432.19,8/3/15
663.2,8/4/15
389.7,8/11/15
483.19,8/14/15
483.19,8/18/15
297.99,8/21/15
319.98,8/22/15
297.99,8/24/15
302.98,8/25/15
319.98,8/28/15
297.99,8/29/15
297.99,8/30/15
319.98,8/31/15
339.7,9/1/15
297.99,9/2/15
319.98,9/3/15
