Price,Date
310.19,7/1/15
233.7,7/2/15
450.34,7/3/15
358.19,7/4/15
478.59,7/5/15
433.69,7/6/15
400.97,7/7/15
120,7/8/15
415.97,7/9/15
520.36,7/10/15
243.2,7/11/15
310.19,7/12/15
464.2,7/13/15
542.57,7/14/15
361.69,7/15/15
139.99,7/16/15
461.19,7/17/15
359.7,7/19/15
332.69,7/20/15
133.99,7/21/15
230.19,7/22/15
360.69,7/23/15
497.09,7/24/15
491.7,7/25/15
449.98,7/26/15
198.01,7/27/15
220,7/28/15
358.1,7/29/15
138,7/30/15
336.62,7/31/15
347.69,8/1/15
359.6,8/2/15
136.2,8/3/15
297.69,8/4/15
189.99,8/5/15
104.99,8/6/15
358.1,8/7/15
136.2,8/8/15
120,8/9/15
330.2,8/10/15
219.69,8/11/15
549.82,8/12/15
259.99,8/13/15
118,8/14/15
280.19,8/15/15
409.92,8/16/15
120,8/17/15
257.69,8/18/15
98.01,8/19/15
218.2,8/20/15
225.7,8/21/15
433.83,8/22/15
138.19,8/23/15
388.7,8/24/15
365.93,8/25/15
118.19,8/26/15
