Price,Date
236.2,6/1/15
258.19,6/2/15
236.2,6/3/15
258.19,6/4/15
271.19,6/5/15
236.2,6/8/15
256.2,6/9/15
256.2,6/10/15
233.19,6/11/15
236.2,6/12/15
236.2,6/14/15
236.2,6/16/15
236.2,6/18/15
298.19,6/21/15
236.2,6/22/15
232.2,6/23/15
236.2,6/24/15
236.2,6/25/15
209.19,6/26/15
216.2,6/27/15
257.99,6/28/15
218,6/29/15
158,6/30/15
188.59,7/1/15
218,7/2/15
156.2,7/4/15
196.2,7/5/15
178.19,7/6/15
313.19,7/7/15
196.2,7/8/15
308.2,7/9/15
189.2,7/10/15
156.2,7/11/15
246.19,7/12/15
251.2,7/13/15
156.2,7/14/15
218,7/15/15
156,7/17/15
196.2,7/18/15
156.2,7/19/15
156.2,7/20/15
156,7/21/15
156,7/22/15
177,7/23/15
177,7/24/15
228.19,7/26/15
197,7/27/15
156.99,7/28/15
156,7/29/15
156,7/30/15
156,7/31/15
198.19,8/1/15
176.2,8/2/15
198.01,8/3/15
198.01,8/4/15
196.2,8/5/15
189.2,8/6/15
196.2,8/7/15
289.99,8/8/15
365.2,8/9/15
189.2,8/10/15
218,8/11/15
176.2,8/12/15
193.19,8/13/15
193.19,8/14/15
196.2,8/15/15
196.2,8/16/15
198.01,8/17/15
198.01,8/18/15
196.2,8/19/15
198.01,8/20/15
196.2,8/21/15
196.2,8/22/15
196.2,8/23/15
196.2,8/24/15
