Price,Date
429.7,7/3/15
502.69,7/4/15
558.7,7/6/15
786.2,7/7/15
327.7,7/8/15
495.7,7/9/15
492.7,7/11/15
370.69,7/12/15
370.69,7/13/15
370.69,7/14/15
370.69,7/15/15
397.19,7/16/15
420.69,7/17/15
567.7,7/18/15
504.19,7/19/15
400.2,7/20/15
296.2,7/21/15
593.2,7/22/15
668.69,7/23/15
450.69,7/24/15
446.19,7/26/15
450.69,7/27/15
320.2,7/28/15
446.19,7/29/15
491.2,7/31/15
597.2,8/2/15
640.7,8/3/15
443.7,8/5/15
448.19,8/6/15
499.7,8/7/15
484.19,8/9/15
473.7,8/10/15
384.7,8/11/15
465.69,8/13/15
473.7,8/14/15
495.69,8/15/15
316.2,8/16/15
495.69,8/17/15
483.69,8/18/15
583.7,8/19/15
290.19,8/20/15
484.69,8/21/15
673.7,8/22/15
265.2,8/23/15
255.2,8/24/15
265.2,8/25/15
499.7,8/26/15
384.7,8/27/15
489.7,8/28/15
472.19,8/29/15
265.2,8/30/15
382.2,8/31/15
