Price,Date
159.19,7/1/15
138,7/2/15
214.19,7/3/15
138,7/4/15
317.69,7/5/15
204.2,7/6/15
320.2,7/7/15
310.2,7/8/15
221.69,7/10/15
153.99,7/11/15
220.19,7/12/15
169.99,7/13/15
138,7/14/15
181.19,7/15/15
208.7,7/16/15
121.2,7/17/15
133.19,7/18/15
220.69,7/19/15
128.19,7/20/15
167.69,7/21/15
256.69,7/22/15
244.7,7/23/15
175.19,7/24/15
241.2,7/25/15
328.19,7/26/15
258.7,7/27/15
327.69,7/28/15
255.7,7/29/15
313.59,7/30/15
255.7,7/31/15
213.2,8/1/15
128.19,8/2/15
251.7,8/3/15
262.19,8/4/15
364.09,8/5/15
128.19,8/6/15
232.69,8/7/15
194.2,8/8/15
166.69,8/9/15
146.7,8/10/15
133.19,8/11/15
250.19,8/12/15
198.7,8/13/15
170.19,8/14/15
255.19,8/15/15
128.19,8/16/15
149.7,8/17/15
204.99,8/18/15
216.7,8/19/15
198.01,8/20/15
202.59,8/21/15
114.7,8/22/15
139.69,8/23/15
206.7,8/24/15
145.19,8/25/15
208.19,8/26/15
