Price,Date
181.2,7/5/15
218.19,7/6/15
203.19,7/7/15
203.19,7/8/15
237.19,7/11/15
212.19,7/12/15
196.2,7/14/15
203.19,7/15/15
197.19,7/18/15
324.95,7/19/15
304.19,7/21/15
140.59,7/22/15
173.19,7/23/15
173.19,7/24/15
120.19,7/25/15
138.19,7/26/15
188.19,7/27/15
256.19,7/28/15
138.19,7/29/15
123.2,7/30/15
102.19,7/31/15
80.2,8/1/15
80.2,8/2/15
80.2,8/3/15
218.19,8/4/15
138.19,8/5/15
156.2,8/6/15
116.2,8/7/15
120.19,8/8/15
120.19,8/9/15
120.19,8/10/15
120.19,8/11/15
80.2,8/12/15
80.2,8/13/15
80.2,8/15/15
148.2,8/16/15
102.19,8/17/15
120.19,8/19/15
105.19,8/20/15
105.19,8/21/15
102.19,8/22/15
105.19,8/23/15
80.2,8/24/15
80.2,8/25/15
