Price,Date
359.7,7/1/15
411.2,7/2/15
348.7,7/3/15
385.19,7/4/15
535.19,7/5/15
535.69,7/6/15
479.69,7/7/15
633,7/8/15
513.69,7/10/15
637.69,7/11/15
675.7,7/12/15
436.19,7/13/15
642.63,7/14/15
491.69,7/15/15
582.88,7/16/15
524.69,7/17/15
445.19,7/18/15
439.69,7/19/15
606.19,7/20/15
361.69,7/21/15
439.19,7/22/15
524.69,7/23/15
426.7,7/24/15
349.69,7/25/15
448.69,7/26/15
507.19,7/27/15
525.19,7/28/15
479.7,7/29/15
426.7,7/30/15
435.2,7/31/15
415.19,8/1/15
584.69,8/2/15
489.69,8/3/15
507.2,8/4/15
390.69,8/5/15
393.19,8/6/15
356.69,8/7/15f
557.69,8/8/15
304.69,8/9/15
366.69,8/10/15
468.2,8/11/15
411.7,8/12/15
340.2,8/13/15
411.2,8/14/15
491.19,8/15/15
355.19,8/16/15
352.69,8/17/15
412.69,8/18/15
319.69,8/19/15
456.7,8/20/15
502.69,8/21/15
411.69,8/22/15
502.69,8/23/15
322.69,8/24/15
359.19,8/25/15
481.19,8/26/15
