Price,Date
77.6,8/1/15
74.6,8/2/15
74.6,8/3/15
74.2,8/4/15
68.6,8/5/15
68.6,8/6/15
74.6,8/7/15
74.6,8/8/15
74.6,8/9/15
74.6,8/10/15
74.6,8/11/15
80.2,8/12/15
74.6,8/13/15
74.6,8/14/15
80.2,8/15/15
72.2,8/16/15
72.2,8/17/15
74.6,8/18/15
74.6,8/19/15
74.6,8/20/15
74.6,8/21/15
74.6,8/22/15
74.6,8/23/15
74.6,8/24/15
74.6,8/25/15
74.6,8/26/15
74.6,8/27/15
80.6,7/1/15
86.2,7/2/15
86.2,7/3/15
77.6,7/6/15
80.2,7/7/15
80.2,7/8/15
77.6,7/10/15
74.6,7/11/15
74.6,7/13/15
83.2,7/14/15
80.2,7/15/15
74.6,7/16/15
77.6,7/17/15
80.2,7/18/15
80.2,7/19/15
80.2,7/20/15
74.6,7/21/15
77.6,7/23/15
80.2,7/24/15
77.6,7/27/15
77.6,7/28/15
74.6,7/29/15
74.6,7/30/15
80.2,7/31/15
