Price,Date
151.2,7/1/15
151.2,7/2/15
172.2,7/10/15
172.2,7/11/15
172.2,7/14/15
242.2,7/18/15
215.19,7/22/15
312.19,7/24/15
259.19,7/28/15
259.19,7/29/15
258.2,7/30/15
258.2,8/2/15
258.2,8/3/15
166.2,8/5/15
275.2,8/6/15
269.2,8/7/15
292.19,8/9/15
248.2,8/10/15
325.2,8/11/15
302.2,8/12/15
336.2,8/13/15
310.2,8/14/15
303.19,8/15/15
319.2,8/16/15
193.2,8/17/15
260.2,8/18/15
240.2,8/19/15
344.19,8/20/15
341.2,8/21/15
341.2,8/22/15
385.2,8/23/15
344.2,8/24/15
313.19,8/25/15
