Price,Date
865.63,7/1/15
1259.79,7/2/15
834.48,7/3/15
950.3,7/5/15
816.97,7/6/15
813.15,7/7/15
826.05,7/9/15
789.89,7/10/15
809.89,7/13/15
825.08,7/14/15
811.6,7/16/15
1392.87,7/17/15
1111.58,7/19/15
812.58,7/20/15
686.04,7/21/15
757.96,7/22/15
779.91,7/23/15
812.31,7/24/15
1410.23,7/25/15
1741.61,7/26/15
685.92,7/28/15
821.88,7/30/15
812.63,7/31/15
813.44,8/1/15
686.15,8/2/15
616.15,8/3/15
812.68,8/4/15
800.02,8/5/15
799.14,8/6/15
787.6,8/7/15
1850.08,8/8/15
788.96,8/9/15
801.52,8/10/15
685.89,8/12/15
851.19,8/13/15
747.28,8/14/15
828.65,8/15/15
1066.55,8/16/15
1163.09,8/17/15
1353.45,8/18/15
1081.24,8/19/15
782.72,8/20/15
654.47,8/21/15
788.71,8/22/15
790.19,8/23/15
792.16,8/24/15
621.95,8/25/15
659.09,8/26/15
