Price,Date
1373.82,5/1/15
864.4,5/2/15
1693.79,5/3/15
1948.16,5/5/15
1141.31,5/6/15
1896.18,5/7/15
1709.32,5/8/15
1576.63,5/9/15
1849.13,5/10/15
1093.57,5/11/15
2035.41,5/13/15
1079.25,5/14/15
1714.3,5/15/15
1305.61,5/16/15
1332.67,5/17/15
1074.15,5/18/15
2076.61,5/19/15
1160.18,5/20/15
959.34,5/22/15
814.24,5/23/15
2254.69,5/24/15
1224.29,5/25/15
1839.8,5/26/15
1007.28,5/27/15
861.39,5/28/15
860.75,5/29/15
821.69,5/30/15
975.8,5/31/15
1423.8,6/1/15
1235.69,6/2/15
2139.8,6/3/15
1100.41,6/4/15
1205.75,6/5/15
1313.65,6/6/15
1003.97,6/7/15
918.32,6/8/15
970.32,6/9/15
816.47,6/11/15
1279.2,6/12/15
1443.29,6/13/15
1610.03,6/14/15
944.52,6/15/15
848.19,6/16/15
2063.68,6/17/15
1029.33,6/18/15
1038.23,6/19/15
1724.69,6/20/15
1947.69,6/21/15
848.39,6/22/15
912.9,6/23/15
912.9,6/24/15
1829.61,6/25/15
1133.9,6/26/15
1370.9,6/27/15
1193.35,6/28/15
1100.97,6/29/15
1845.35,6/30/15
823.14,7/1/15
908.24,7/2/15
1647.38,7/3/15
956.08,7/4/15
1389.9,7/5/15
1534.97,7/6/15
1263.24,7/7/15
990.88,7/8/15
1567.68,7/9/15
1053.1,7/10/15
1708.04,7/11/15
1166.5,7/12/15
1174.46,7/13/15
1416.39,7/14/15
1037.82,7/15/15
898.12,7/16/15
1249.36,7/17/15
823.02,7/18/15
945.43,7/19/15
1127.2,7/20/15
1176.82,7/21/15
1240.9,7/22/15
1417.35,7/23/15
903.46,7/24/15
1583.01,7/25/15
1056.34,7/26/15
1035.89,7/27/15
1137.91,7/28/15
1115.33,7/29/15
1115.33,7/30/15
1007.34,7/31/15
1339.33,8/1/15
1132.95,8/2/15
930.23,8/3/15
912.03,8/4/15
1696.42,8/5/15
1331.01,8/6/15
1234.44,8/7/15
993.04,8/8/15
917.37,8/9/15
1273.45,8/10/15
955.7,8/11/15
1000.03,8/12/15
917.77,8/13/15
1112.27,8/14/15
1162.68,8/15/15
1038.27,8/16/15
1009.66,8/17/15
1015.2,8/18/15
1082.29,8/19/15
1170.21,8/20/15
1009.84,8/21/15
